cell_id,sleep_rate,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_window,num_steps,check_sleep_interval,sleep_decay_rate,elapsed_s,returncode
159,0.7,notmnist,46,0.10614525139664804,0.11049723756906077,0.14835164835164835,,2450,100,3500,0.9999939429419015,467.915795,0
160,0.8,mnist,42,0.7371428571428571,0.8229598893499308,0.712707182320442,,2800,100,3500,0.9999947000721574,759.453492,0
161,0.8,mnist,43,0.08152173913043478,0.125,0.09550561797752809,,2800,100,3500,0.9999947000721574,495.697193,0
162,0.8,mnist,44,0.12429378531073447,0.1149584487534626,0.13812154696132597,,2800,100,3500,0.9999947000721574,693.29716,0
163,0.8,mnist,45,0.7228260869565217,0.8253094910591472,0.7197802197802198,,2800,100,3500,0.9999947000721574,481.397082,0
164,0.8,mnist,46,0.13043478260869565,0.11618257261410789,0.11049723756906077,,2800,100,3500,0.9999947000721574,799.969095,0
165,0.8,fmnist,42,0.4911242603550296,0.5620641562064156,0.45555555555555555,,2800,100,3500,0.9999947000721574,943.791825,0
166,0.8,fmnist,43,0.09142857142857143,0.12104539202200826,0.09340659340659341,,2800,100,3500,0.9999947000721574,480.694671,0
167,0.8,fmnist,44,0.3388888888888889,0.48137931034482756,0.3626373626373626,,2800,100,3500,0.9999947000721574,455.635788,0
168,0.8,fmnist,45,0.44565217391304346,0.5416666666666666,0.44751381215469616,,2800,100,3500,0.9999947000721574,480.409037,0
169,0.8,fmnist,46,0.0670391061452514,0.13121546961325967,0.12087912087912088,,2800,100,3500,0.9999947000721574,562.163884,0
170,0.8,kmnist,42,0.42391304347826086,0.5150273224043715,0.34782608695652173,,2800,100,3500,0.9999947000721574,1127.363979,0
171,0.8,kmnist,43,0.09090909090909091,0.10848400556328233,0.10555555555555556,,2800,100,3500,0.9999947000721574,642.539142,0
172,0.8,kmnist,44,0.489010989010989,0.5362116991643454,0.4722222222222222,,2800,100,3500,0.9999947000721574,596.337681,0
173,0.8,kmnist,45,0.44086021505376344,0.5246826516220028,0.4606741573033708,,2800,100,3500,0.9999947000721574,495.733285,0
174,0.8,kmnist,46,0.36065573770491804,0.4790502793296089,0.37222222222222223,,2800,100,3500,0.9999947000721574,822.316541,0
175,0.8,notmnist,42,0.0989010989010989,0.11675824175824176,0.08196721311475409,,2800,100,3500,0.9999947000721574,703.509626,0
176,0.8,notmnist,43,0.08152173913043478,0.12253521126760564,0.06741573033707865,,2800,100,3500,0.9999947000721574,574.518727,0
177,0.8,notmnist,44,0.1016949152542373,0.11448275862068966,0.07692307692307693,,2800,100,3500,0.9999947000721574,531.502053,0
178,0.8,notmnist,45,0.09714285714285714,0.11731843575418995,0.1,,2800,100,3500,0.9999947000721574,670.25529,0
179,0.8,notmnist,46,0.10614525139664804,0.11049723756906077,0.14835164835164835,,2800,100,3500,0.9999947000721574,530.925239,0
180,0.9,mnist,42,0.7314285714285714,0.7897648686030428,0.6961325966850829,,3150,100,3500,0.9999952889516417,648.55943,0
181,0.9,mnist,43,0.08152173913043478,0.125,0.09550561797752809,,3150,100,3500,0.9999952889516417,588.84491,0
182,0.9,mnist,44,0.12429378531073447,0.1149584487534626,0.13812154696132597,,3150,100,3500,0.9999952889516417,834.532444,0
183,0.9,mnist,45,0.7119565217391305,0.7537826685006878,0.7307692307692307,,3150,100,3500,0.9999952889516417,1156.211537,0
184,0.9,mnist,46,0.13043478260869565,0.11618257261410789,0.11049723756906077,,3150,100,3500,0.9999952889516417,569.129557,0
185,0.9,fmnist,42,0.5088757396449705,0.5327754532775453,0.37222222222222223,,3150,100,3500,0.9999952889516417,744.167801,0
186,0.9,fmnist,43,0.09142857142857143,0.12104539202200826,0.09340659340659341,,3150,100,3500,0.9999952889516417,603.042881,0
187,0.9,fmnist,44,0.09444444444444444,0.12,0.07692307692307693,,3150,100,3500,0.9999952889516417,605.197729,0
188,0.9,fmnist,45,0.43478260869565216,0.5541666666666667,0.44751381215469616,,3150,100,3500,0.9999952889516417,702.073344,0
189,0.9,fmnist,46,0.0670391061452514,0.13121546961325967,0.12087912087912088,,3150,100,3500,0.9999952889516417,592.522554,0
190,0.9,kmnist,42,0.3858695652173913,0.4822404371584699,0.41304347826086957,,3150,100,3500,0.9999952889516417,641.425267,0
191,0.9,kmnist,43,0.42045454545454547,0.4993045897079277,0.46111111111111114,,3150,100,3500,0.9999952889516417,629.210564,0
192,0.9,kmnist,44,0.44505494505494503,0.4623955431754875,0.37777777777777777,,3150,100,3500,0.9999952889516417,627.007109,0
193,0.9,kmnist,45,0.44623655913978494,0.5105782792665726,0.43258426966292135,,3150,100,3500,0.9999952889516417,492.443486,0
194,0.9,kmnist,46,0.36065573770491804,0.4622905027932961,0.4166666666666667,,3150,100,3500,0.9999952889516417,465.717813,0
195,0.9,notmnist,42,0.0989010989010989,0.11675824175824176,0.08196721311475409,,3150,100,3500,0.9999952889516417,1064.439654,0
