cell_id,code,dataset,seed,downscale,noise,stdp,suppress,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_rate,elapsed_s,returncode
65,0100,mnist,42,False,True,False,False,0.44571428571428573,0.8437067773167358,0.569060773480663,,0.1,152.468445,0
66,0100,mnist,43,False,True,False,False,0.5978260869565217,0.8553370786516854,0.6123595505617978,,0.1,153.397987,0
67,0100,mnist,44,False,True,False,False,0.4519774011299435,0.6786703601108033,0.4530386740331492,,0.1,157.376188,0
68,0100,mnist,45,False,True,False,False,0.5815217391304348,0.7166437414030261,0.4725274725274725,,0.1,142.8574,0
69,0100,mnist,46,False,True,False,False,0.5271739130434783,0.8284923928077456,0.6132596685082873,,0.1,143.858806,0
70,0010,mnist,42,False,False,True,False,0.1657142857142857,0.12586445366528354,0.10497237569060773,,0.1,162.751129,0
71,0010,mnist,43,False,False,True,False,0.08152173913043478,0.125,0.09550561797752809,,0.1,159.432427,0
72,0010,mnist,44,False,False,True,False,0.12429378531073447,0.1149584487534626,0.13812154696132597,,0.1,186.900517,0
73,0010,mnist,45,False,False,True,False,0.11956521739130435,0.1155433287482806,0.12637362637362637,,0.1,267.380286,0
74,0010,mnist,46,False,False,True,False,0.13043478260869565,0.11618257261410789,0.11049723756906077,,0.1,219.704176,0
75,0001,mnist,42,False,False,False,True,0.5371428571428571,0.8326417704011065,0.6187845303867403,,0.1,180.643501,0
76,0001,mnist,43,False,False,False,True,0.6086956521739131,0.8735955056179775,0.6292134831460674,,0.1,164.634716,0
77,0001,mnist,44,False,False,False,True,0.5310734463276836,0.760387811634349,0.5248618784530387,,0.1,158.590374,0
78,0001,mnist,45,False,False,False,True,0.592391304347826,0.859697386519945,0.6373626373626373,,0.1,132.14211,0
79,0001,mnist,46,False,False,False,True,0.5652173913043478,0.8478561549100968,0.6077348066298343,,0.1,137.496309,0
80,0000,mnist,42,False,False,False,False,0.49714285714285716,0.8340248962655602,0.6022099447513812,,0.1,133.97411,0
81,0000,mnist,43,False,False,False,False,0.625,0.8932584269662921,0.6797752808988764,,0.1,145.515195,0
82,0000,mnist,44,False,False,False,False,0.4519774011299435,0.682825484764543,0.5248618784530387,,0.1,130.109988,0
83,0000,mnist,45,False,False,False,False,0.5163043478260869,0.8060522696011004,0.5879120879120879,,0.1,145.803918,0
84,0000,mnist,46,False,False,False,False,0.5434782608695652,0.8367911479944675,0.6298342541436464,,0.1,112.282301,0
