cell_id,method,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_ratio,decay_rate,num_steps,check_sleep_interval,elapsed_s,returncode
50,decay,kmnist,42,0.3804347826086957,0.32554945054945056,0.2568306010928962,,0.0,1.6e-05,100,3500,299.929868,0
51,decay,kmnist,43,0.2784090909090909,0.30027932960893855,0.2833333333333333,,0.0,1.6e-05,100,3500,308.741642,0
52,decay,kmnist,44,0.21978021978021978,0.1986013986013986,0.2011173184357542,,0.0,1.6e-05,100,3500,387.922074,0
53,decay,kmnist,45,0.1881720430107527,0.23022598870056496,0.20903954802259886,,0.0,1.6e-05,100,3500,323.176012,0
54,decay,kmnist,46,0.366120218579235,0.4488078541374474,0.35195530726256985,,0.0,1.6e-05,100,3500,362.267379,0
55,decay,notmnist,42,0.0989010989010989,0.11691884456671252,0.07692307692307693,,0.0,1.6e-05,100,3500,375.589509,0
56,decay,notmnist,43,0.08152173913043478,0.1228813559322034,0.0903954802259887,,0.0,1.6e-05,100,3500,359.079129,0
57,decay,notmnist,44,0.12429378531073447,0.12326869806094183,0.04419889502762431,,0.0,1.6e-05,100,3500,352.095152,0
58,decay,notmnist,45,0.11428571428571428,0.12167832167832168,0.08379888268156424,,0.0,1.6e-05,100,3500,337.194634,0
59,decay,notmnist,46,0.11731843575418995,0.11464088397790055,0.13259668508287292,,0.0,1.6e-05,100,3500,335.943063,0
60,norm_layer,mnist,42,0.8057142857142857,0.8904299583911235,0.8066298342541437,,0.0,,100,3500,213.957212,0
61,norm_layer,mnist,43,0.7989130434782609,0.9014084507042254,0.7696629213483146,,0.0,,100,3500,218.568002,0
62,norm_layer,mnist,44,0.807909604519774,0.9123783031988874,0.7833333333333333,,0.0,,100,3500,202.276231,0
63,norm_layer,mnist,45,0.7880434782608695,0.9060773480662984,0.8351648351648352,,0.0,,100,3500,228.460775,0
64,norm_layer,mnist,46,0.8043478260869565,0.8821081830790569,0.7845303867403315,,0.0,,100,3500,198.17261,0
65,norm_layer,fmnist,42,0.6390532544378699,0.7594405594405594,0.6368715083798883,,0.0,,100,3500,223.455925,0
66,norm_layer,fmnist,43,0.6742857142857143,0.6951724137931035,0.6208791208791209,,0.0,,100,3500,245.258941,0
67,norm_layer,fmnist,44,0.6,0.6671289875173371,0.574585635359116,,0.0,,100,3500,207.300712,0
68,norm_layer,fmnist,45,0.6086956521739131,0.6857541899441341,0.6166666666666667,,0.0,,100,3500,205.787879,0
69,norm_layer,fmnist,46,0.659217877094972,0.7044198895027625,0.6243093922651933,,0.0,,100,3500,445.732528,0
70,norm_layer,kmnist,42,0.5815217391304348,0.7252747252747253,0.5737704918032787,,0.0,,100,3500,340.821045,0
71,norm_layer,kmnist,43,0.6306818181818182,0.7430167597765364,0.5555555555555556,,0.0,,100,3500,199.282171,0
72,norm_layer,kmnist,44,0.6043956043956044,0.7272727272727273,0.664804469273743,,0.0,,100,3500,199.693586,0
73,norm_layer,kmnist,45,0.5967741935483871,0.7570621468926554,0.615819209039548,,0.0,,100,3500,207.919014,0
74,norm_layer,kmnist,46,0.5846994535519126,0.7180925666199158,0.5865921787709497,,0.0,,100,3500,230.256113,0
75,norm_layer,notmnist,42,0.7087912087912088,0.8294360385144429,0.7582417582417582,,0.0,,100,3500,226.262723,0
76,norm_layer,notmnist,43,0.7228260869565217,0.7980225988700564,0.7570621468926554,,0.0,,100,3500,217.081514,0
77,norm_layer,notmnist,44,0.7570621468926554,0.8448753462603878,0.7845303867403315,,0.0,,100,3500,233.682167,0
78,norm_layer,notmnist,45,0.72,0.8587412587412587,0.7374301675977654,,0.0,,100,3500,237.058728,0
79,norm_layer,notmnist,46,0.7821229050279329,0.8038674033149171,0.7182320441988951,,0.0,,100,3500,269.871503,0
80,norm_neuron,mnist,42,0.6914285714285714,1.0,0.7348066298342542,,0.0,,100,3500,193.690221,0
81,norm_neuron,mnist,43,0.7771739130434783,1.0,0.7359550561797753,,0.0,,100,3500,228.509955,0
82,norm_neuron,mnist,44,0.7627118644067796,1.0,0.7166666666666667,,0.0,,100,3500,300.320888,0
83,norm_neuron,mnist,45,0.6684782608695652,0.9986187845303868,0.7527472527472527,,0.0,,100,3500,232.270965,0
84,norm_neuron,mnist,46,0.7445652173913043,0.9986130374479889,0.7513812154696132,,0.0,,100,3500,211.753807,0
85,norm_neuron,fmnist,42,0.6272189349112426,1.0,0.5698324022346368,,0.0,,100,3500,198.536484,0
86,norm_neuron,fmnist,43,0.5542857142857143,1.0,0.5494505494505495,,0.0,,100,3500,188.429202,0
87,norm_neuron,fmnist,44,0.5388888888888889,0.9986130374479889,0.49171270718232046,,0.0,,100,3500,256.733508,0
88,norm_neuron,fmnist,45,0.5652173913043478,1.0,0.5833333333333334,,0.0,,100,3500,230.328776,0
89,norm_neuron,fmnist,46,0.5921787709497207,1.0,0.5524861878453039,,0.0,,100,3500,235.342024,0
90,norm_neuron,kmnist,42,0.4891304347826087,1.0,0.5191256830601093,,0.0,,100,3500,179.986346,0
91,norm_neuron,kmnist,43,0.5681818181818182,1.0,0.5277777777777778,,0.0,,100,3500,279.166267,0
92,norm_neuron,kmnist,44,0.5824175824175825,1.0,0.5865921787709497,,0.0,,100,3500,196.55744,0
93,norm_neuron,kmnist,45,0.5268817204301075,1.0,0.5480225988700564,,0.0,,100,3500,196.342109,0
94,norm_neuron,kmnist,46,0.5519125683060109,1.0,0.5363128491620112,,0.0,,100,3500,180.980317,0
95,norm_neuron,notmnist,42,0.6208791208791209,1.0,0.6813186813186813,,0.0,,100,3500,182.511222,0
96,norm_neuron,notmnist,43,0.6086956521739131,1.0,0.6666666666666666,,0.0,,100,3500,182.923401,0
97,norm_neuron,notmnist,44,0.6666666666666666,1.0,0.6850828729281768,,0.0,,100,3500,178.274701,0
98,norm_neuron,notmnist,45,0.6742857142857143,1.0,0.6368715083798883,,0.0,,100,3500,175.978156,0
99,norm_neuron,notmnist,46,0.6983240223463687,1.0,0.6077348066298343,,0.0,,100,3500,175.46078,0
